duplicate_row_number,term,definition,first_seen_term,first_seen_definition,same_definition
10121,SUPPLY,"Includes at least purchasing,
materials management, incoming
inspection and receiving. Supply is
used when relating to buying based
upon total cost of ownership in a
manufacturing environment.",Supply,The delivery of goods by a supplier to a customer in a particular time period and expressed in quantitative or financial terms.,false
10123,SUPPLY CHAIN,"A linear set of value adding activities
that result in an output . It includes
all inter related internal and
external functional activities.",Supply Chain,"The linked set of resources and processes that begins with the sourcing of raw material and extends through the delivery of end items to the final customer. It includes vendors, manufacturing facilities, logistics providers, internal distribution centres, distributors, wholesalers, and all other entities that lead up to final customer acceptance. The extended supply chain for a given company may also include secondary vendors to their immediate vendors, and the customers of their immediate customers.",false
10127,Supply Chain Cycle Time,The time it would take to fill a customer order if inventory levels were zero. Sum of the longest lead times for each stage of the cycle. Supply chain cycle time indicates the overall efficiency of the supply chain. Short cycles make for a more efficient and agile supply chain. Analysis of this critical metric can help recognize pain points or competitive advantages.,SUPPLY CHAIN CYCLE TIME,The time it would take to fill a customer order if inventory levels were zero. Sum of the longest lead times for each stage of the cycle. Supply chain cycle time indicates the overall efficiency of the supply chain. Short cycles make for a more efficient and agile supply chain. Analysis of this critical metric can help recognize pain points or competitive advantages.,true
10140,Supply Chain Perspective,Contracts are closed based upon recognizing interests of key supply chain partners.,SUPPLY CHAIN PERSPECTIVE,Contracts are closed based upon recognizing interests of key supply chain partners.,true
10144,SUPPLY CHAIN RISK,"A study of the vulnerability of
supply chains to disruption.",Supply Chain Risk,A study of the vulnerability of supply chains to disruption.,false
10146,Supply Chain Visibility,A major trading partner can connect to its supply chain to access data in real time.,SUPPLY CHAIN VISIBILITY,A major trading partner can connect to its supply chain to access data in real time.,true
10151,SUPPLY MARKET RESEARCH,"Defined as the systematic gathering,
classification and analysis of data
considering all relevant factors
that influence the procurement
of goods and services for the
purpose of meeting present and
future company requirements.",Supply Market Research,"Defined as the systematic gathering, classification, and analysis of data considering all relevant factors that influence the procurement of goods and services for the purpose of meeting present and future company requirements.",false
10164,SUPPORT ACTIVITIES,"Those value activities that are required
to support the company's primary
activities. These include procurement,
technology development, human
resources management and facilities
management (i.e. those activities aimed
at maintaining the firm's infrastructure).",Support Activities,"Those value activities that are required to support the company’s primary activities. These include procurement, technology development, human resources management, and facilities management (i.e. those activities aimed at maintaining the firm’s infrastructure).",false
10178,SUSTAINABILITY,"The ability of a business to create
acceptable profit for its owners as
well as minimising the damage to
the environment and enhancing
the existence of the people
with whom it has contact.",Sustainability,The ability of a business to create acceptable profit for its owners as well as minimising the damage to the environment and enhancing the existence of the people with whom it has contact.,false
10182,Sustainable Procurement,"Sustainable procurement focuses on acquisitions that stimulates inclusive development, protection of the environment and socio- economic progress.",SUSTAINABLE PROCUREMENT,"Sustainable procurement focuses on acquisitions that stimulates inclusive development, protection of the environment and socioeconomic progress.",false
10196,Sweep,A long oar used to steer an unpowered lighter.,SWEEP,Abbreviation for: Sector-Wide Employment and Equity Programme.,false
10207,SWOT Analysis,"Strengths, Weaknesses, Opportunities and Threats analysis - the organisation and analysis of factors that will impact organizational effectiveness; often used in formulating strategic and business plans.",SWOT ANALYSIS,"(Strengths, Weaknesses, Opportunities, Threats): Utilized as a strategic planning tool to improve organisational effectiveness of the procurement organisation. Developed by Alfred Humphrey for business analysis.",false
10221,Systems Audit,Assessing the internal quality and control system of an organisation using a systems approach.,SYSTEMS AUDIT,Assessing the internal quality and control system of an organisation using a systems approach.,true
10244,TACTICAL PLANNING,"Planning that covers a shorter period,
usually 12 to 24 months out, although
the planning horizon may be longer
in industries with very long lead
(e.g., engineer-to -order firms).",Tactical Planning,"Planning that covers a shorter period, usually 12 to 24 months out, although the planning horizon may be longer in industries with very long lead (e.g., engineer-to-order firms).",false
10262,TANGIBILITY,"The main characteristic that
distinguishes products (usually tangible)
from services (usually intangible).",Tangibility,The main characteristic that distinguishes products (usually tangible) from services (usually intangible).,false
10277,TARGET SUM CONTRACT,"Contractor gets paid for all costs
plus profit, plus premium depending
upon actual performance.",Target Sum Contract,"Contractor gets paid for all costs plus profit, plus premium depending upon actual performance.",false
10279,TARGET-RETURN PRICING,"The price is based on the amount
of profit that should be realized.
Based on the fixed and variable costs
and the expected selling price, the
required sales volume is calculated.",Target-return Pricing,"In this situation the price is based on the amount of profit that should be realised. Based on the fixed and variable costs and the expected selling price, the required sales volume is calculated.",false
10280,Target-Return Pricing,"The price is based on the amount of profit that should be realized. Based on the fixed and variable costs and the expected selling price, the required sales volume is calculated.",Target-return Pricing,"In this situation the price is based on the amount of profit that should be realised. Based on the fixed and variable costs and the expected selling price, the required sales volume is calculated.",false
10292,TASK VARIABLES,"Variables that are related to the tasks,
responsibilities and competences
assigned by the organisation to the
persons involved in the purchase
decision-making process.TCO
Abbreviation for: Telecommunications
Certification Officer and Total
Cost of Ownership.",Task Variables,"Those variables that are related to the tasks, responsibilities, and competences assigned by the organisation to the persons involved in the purchase decision-making process.",false
10303,TCA,Abbreviation for: Traffic Control Airport and Tower Control Airport.,TCA,Abbreviation for: Terminal Control Area.,false
10327,Technical Proposal,"A response to a solicitation which describes in detail what an offeror proposes to furnish and the method of delivery. May be part of a two-step response contained within an offer, the second part being the price proposal.",TECHNICAL PROPOSAL,"A response to a solicitation which describes in detail what an offeror proposes to furnish and the method of delivery. May be part of a two-step response contained within an offer, the second part being the price proposal.",true
10329,TECHNICAL RISK,This kind of risk is related to the extent to which the provider is able to provide the desired functionality and performance.,Technical Risk,This kind of risk is related to the extent to which the provider is able to provide the desired functionality and performance.,true
10331,TECHNICAL SPECIFICATION,Describes the technical properties and characteristics of the product as well as the activities to be performed by the supplier.,Technical Specification,Describes the technical properties and characteristics of the product as well as the activities to be performed by the supplier.,true
10345,TENDER,"A bidding process for goods, services or
construction that is open to all qualified
bidders and where the sealed bids are
opened in public for scrutiny and are
chosen on the basis of compliance with
the bid requirements and lowest price.",Tender,The offer of goods for transportation or the offer to place cars or containers for loading or unloading.,false
10348,Tender List,A list of Contractors or Suppliers selected from an Approved List or from responses to a Contract Notice and invited to submit their tender for a specific contract.,TENDER LIST,A list of Contractors or Suppliers selected from an Approved List or from responses to a Contract Notice and invited to submit their tender for a specific contract.,true
10354,Term Contract,"A type of contract in which a source of supply is established for a specified period of time for specified services or supplies; usually characterized by an estimated or definite minimum quantity, with the possibility of additional requirements beyond the minimum, all at a predetermined unit price.",TERM CONTRACT,"A type of contract in which a source of supply is established for a specified period of time for specified services or supplies; usually characterized by an estimated or definite minimum quantity, with the possibility of additional requirements beyond the minimum, all at a predetermined unit price.",true
10362,Termination For Convenience,"A contract clause which may be contained within boilerplate language that allows for contract to be ended at the discretion of the governmental entity. Action by which the purchasing entity, in accordance with contract provisions, unilaterally cancels all or part of the contract work for the best interest of the jurisdiction, and with no reflection on the contractor's performance.",TERMINATION FOR CONVENIENCE,"A contract clause which may be contained within boilerplate language that allows for contract to be ended at the discretion of the governmental entity. Action by which the purchasing entity, in accordance with contract provisions, unilaterally cancels all or part of the contract work for the best interest of the jurisdiction, and with no reflection on the contractor’s performance.",false
10364,Termination For Default,"A contract clause which may be contained within boilerplate language that allows either contracting party the right to cancel a contract, either in whole or in part, due to failure of the other party to perform satisfactorily.",TERMINATION FOR DEFAULT,"A contract clause which may be contained within boilerplate language that allows either contracting party the right to cancel a contract, either in whole or in part, due to failure of the other party to perform satisfactorily.",true
10366,Termination For The Convenience,Of The Government A contractual right of the Government— when done in good faith— to end a contract without cause. It is a right to be exercised in the best interest of the Government. It usually occurs when need or funding no longer exists for a requirement or the procurement has drastically changed and requires a new solicitation.,TERMINATION FOR THE CONVENIENCE,"OF THE GOVERNMENT
A contractual right of the Government—
when done in good faith—to end a
contract without cause. It is a right
to be exercised in the best interest of the Government. It usually occurs
when need or funding no longer
exists for a requirement or the
procurement has drastically changed
and requires a new solicitation.",false
10369,Terms Of Contract,Stipulations made in contracts.,TERMS OF CONTRACT,Stipulations made in contracts.,true
10371,TERMS OF PAYMENT,"The methods of payment stipulated
in a sales or purchasing contract.",Terms of Payment,The terms and methods of payment for goods and/or services: agreed upon between a supplier and a customer.,false
10372,Terms Of Payment,The methods of payment stipulated in a sales or purchasing contract.,Terms of Payment,The terms and methods of payment for goods and/or services: agreed upon between a supplier and a customer.,false
10374,TERMS OF REFERENCE,"A description of the scope of work for services generally indicating the work to be performed, the level of quality and effort, the timeline and the deliverables.",TERMS OF REFERENCE,"The scope of work for services generally indicating the work to be performed, the level of quality and effort, the timelines, requirements specifications, outputs and the deliverables.",false
10375,Terms Of Reference,"A description of the scope of work for services generally indicating the work to be performed, the level of quality and effort, the timeline and the deliverables.",TERMS OF REFERENCE,"The scope of work for services generally indicating the work to be performed, the level of quality and effort, the timelines, requirements specifications, outputs and the deliverables.",false
10416,Third Party Rights,"Third party legal or commercial rights that restrict withhold or defer any any Equity instrument. the party rights include only those created against a black participant to ensure, for a lender, repayment of a loan advanced to that participant for financing their purchase of their equity instrument in the measured Entity; held against a juristic person or trust that is in the chain of ownership between the",THIRD PARTY RIGHTS,"Third party legal or commercial rights that restrict withhold or defer any benefit associated with ownership of any Equity instrument. the party rights include only those created against a black participant to ensure, for a lender, repayment of a loan advanced to that participant for financing their purchase of their equity instrument Glossary | Threshold Values, Public Procurement in the measured Entity; held against a juristic person or trust that is in the chain of ownership between the measured Entity that the eventual black participant serving the same purpose.",false
10427,Three Way Match,A three-way match is the process of comparing the purchase order; the goods receipt note and the supplier's invoice before approving a supplier's invoice for payment. It helps in determining whether the invoice should be paid partly or in its entirety.,THREE WAY MATCH,A three-way match is the process of comparing the purchase order; the goods receipt note and the supplier’s invoice before approving a supplier’s invoice for payment. It helps in determining whether the invoice should be paid partly or in its entirety.,false
10433,"Threshold Values, Public Procurement","Threshold values represent the purchasing volumes beyond which public institutions are obliged to follow European legislation when making their purchase decisions. There are different threshold values for work, supplies, and services.","THRESHOLD VALUES, PUBLIC PROCUREMENT","Threshold values represent the purchasing volumes beyond which public institutions are obliged to follow European legislation when making their purchase decisions. There are different threshold values for work, supplies, and services.",true
10449,Tie Bid Preference,"A policy adopted by a public agency that gives preference to a local bidder only if the bid is identical to a bid from a non- resident bidder, all other aspects of the bid being equal. A way to break a tie bid. Other preference may include awarding the tie bid to a minority firm or small business or a bidder that resides within the state in which the bidding occurred.",TIE BID PREFERENCE,"A policy adopted by a public agency that gives preference to a local bidder only if the bid is identical to a bid from a nonresident bidder, all other aspects of the bid being equal. A way to break a tie bid. Other preference may include awarding the tie bid to a minority firm or small business or a bidder that resides within the state in which the bidding occurred.",false
10451,Tie Bids,Bids submitted by two or more bidders that have identical pricing. May signal collusion.,TIE BIDS,Bids submitted by two or more bidders that have identical pricing. May signal collusion.,true
10464,Time And Materials (T & M) Contract,"A contract which provides for contractor payment based on a direct labour, hourly rate that includes benefits, payroll taxes, overhead and contractor profit and for the cost of materials and equipment used in performance of the contract.",TIME AND MATERIALS (T & M) CONTRACT,"A contract which provides for contractor payment based on a direct labor, hourly rate that includes benefits, payroll taxes, overhead and contractor profit and for the cost of materials and equipment used in performance of the contract.",false
10492,Title,The instrument or document whereby ownership of property is established.,TITLE,The instrument or document whereby ownership of property is established.,true
10548,Tort,"A wrongful act, other than a breach of contract, such that the law permits compensation of damages.",TORT,"A wrongful act, other than a breach of contract, such that the law permits compensation of damages.",true
10550,TOTAL ACQUISITION COST,"OF OWNERSHIP
An analytical way to uncover all the
lifetime costs that follow from deciding
to own and owning an asset, be it
tangible or intangible. It is a financial
estimate aimed at assisting procurers
to quantifiably determine the following:
●Direct costs associated
with a product.
●Indirect cost associated
with a product.
●Opportunity cost associated
with a product, and,
●Socio-economic implications
associated with a product.",Total Acquisition Cost,"The sum of all the costs to an organisation of carrying an item in stock including reorder, carrying, and shortage costs.",false
10552,Total Acquisition Cost Of Ownership,"An analytical way to uncover all the lifetime costs that follow from deciding to own and owning an asset, be it tangible or intangible. It is a financial estimate aimed at assisting procurers to quantifiably determine the following: a product. • Opportunity cost associated with a product, and, • Socio-economic",TOTAL ACQUISITION COST OF OWNERSHIP,"An analytical way to uncover all the lifetime costs that follow from deciding to own and owning an asset, be it tangible or intangible. It is a financial estimate aimed at assisting procurers to quantifiably determine the following:● Direct costs associated with a product.● Indirect cost associated with a product.● Opportunity cost associated with a product, and,● Socio-economic implications associated with a product.",false
10557,TOTAL COST OF OWNERSHIP (TCO),"Relates to the total costs that the
company will incur over the lifetime
of the product that is purchased.",Total Cost of Ownership (TCO),"The life cycle cost view of an asset, which includes acquisition, setup, support, ongoing maintenance, service, and all operating expenses. It focuses attention on the sum of all costs of owning an asset, as opposed to the initial or vendor cost, and is useful in outsourcing decisions.",false
10558,Total Cost Of Ownership (Tco),Relates to the total costs that the company will incur over the lifetime of the product that is purchased.,Total Cost of Ownership (TCO),"The life cycle cost view of an asset, which includes acquisition, setup, support, ongoing maintenance, service, and all operating expenses. It focuses attention on the sum of all costs of owning an asset, as opposed to the initial or vendor cost, and is useful in outsourcing decisions.",false
10562,Total Labour Cost South Africa,Total amount of remuneration paid by an Entity to its employees determined using section 3(4) of the skills Development Levies Act of 1999 and the fourth schedule of the income Tax Act of 1962.,TOTAL LABOUR COST SOUTH AFRICA,Total amount of remuneration paid by an Entity to its employees determined using section 3(4) of the skills Development Levies Act of 1999 and the fourth schedule of the income Tax Act of 1962.,true
10605,Trade Discount,"A discount or reduction from a list price based on the position of the purchaser in the distribution channel, for example as a distributor, retailer, or original equipment manufacturer.",TRADE DISCOUNT,"A discount or reduction from a list price based on the position of the purchaser in the distribution channel, for example as a distributor, retailer, or original equipment manufacturer. Trade-In Value: The value obtained when trading one piece of equipment for another.",false
10607,TRADE FUNCTION,"Activity aimed at bridging time, place, quantity, assortment and knowledge between a buyer and a seller.",Trade Function,"Activity aimed at bridging time, place, quantity, assortment, and knowledge between a buyer and a seller.",false
10610,TRADE PRODUCTS,"These encompass all products which are
purchased to be sold, after negligible
added value, either together with other
finished products or manufactured
products (identical to finished products).",Trade Products,"These encompass all products which are purchased to be sold, after negligible added value, either together with other finished products or manufactured products (identical to finished products).",false
10613,Trade Secret,"A confidential practice, method, process, design or other information used by a company to compete with other businesses. It may also be referred to as confidential information. A trade secret generally has the following in common: (a) information that is not shared with the general public, (b) confers some sort of economic benefit on its holder, and (c) is the subject of reasonable efforts to maintain its secrecy.",TRADE SECRET,"A confidential practice, method, process, design or other information used by a company to compete with other businesses. It may also be referred to as confidential information. A trade secret generally has the following in common: (a) information that is not shared with the general public, (b) confers some sort of economic benefit on its holder, and (c) is the subject of reasonable efforts to maintain its secrecy. Unless the information is covered by a trademark or patent, trade secrets are not protected by law.",false
10615,Trade Standard,"An understanding between buyer and seller as to the meaning of certain words, phrases and characteristics of a given item or service that are established by agreement or general usage.",TRADE STANDARD,"An understanding between buyer and seller as to the meaning of certain words, phrases and characteristics of a given item or service that are established by agreement or general usage.",true
10620,Trade-Off Analysis,An evaluation technique used to score proposals. This approach requires the Evaluation Team to evaluate the technical differences between proposals in order to determine if these differences justify paying the cost or price differential.,TRADE-OFF ANALYSIS,An evaluation technique used to score proposals. This approach requires the Evaluation Team to evaluate the technical differences between proposals in order to determine if these differences justify paying the cost or price differential.,true
10623,Trademark,"A distinctive name, phrase, symbol, design, picture, or style used by an organisation to identify itself and its products. Trademarking is a central legal component for corporate branding. The main purpose of trademark law is to protect the public from being confused or deceived about the origin and quality of a product. Trademarks provide an incentive to maintain a good reputation for a predictable quality level. Trademarks protect the source and quality of a product, while copyrights protect literary or artistic works and patents protect useful designs. Trademarks do not expire. Trademarks remain valid as long as the owner actively uses and defends them and maintains their registrations with the appropriate trademark registry.",TRADEMARK,"A distinctive name, phrase, symbol, design, picture, or style used by an organisation to identify itself and its products. Trademarking is a central legal component for corporate branding. The main purpose of trademark law is to protect the public from being confused or deceived about the origin and quality of a product. Trademarks provide an incentive to maintain a good reputation for a predictable quality level. Trademarks protect the source and quality of a product, while copyrights protect literary or artistic works and patents protect useful designs. Trademarks do not expire. Trademarks remain valid as long as the owner actively uses and defends them and maintains their registrations with the appropriate trademark registry.",true
10628,TRADING PARTNER AGREEMENT,"The written contract that spells
out agreed upon terms between",Trading Partner Agreement,The written contract that spells out agreed upon terms between EDI trading partners.,false
10654,TRANSACTION,"In computer science, a group of logical operations that must all succeed or fail as a group. Systems dedicated to supporting such operations are known a transaction processing systems. Examples would include bill payment, credit card processing.",Transaction,"A single completed transmission, e.g., transmission of an invoice over an EDI network. Analogous to usage of the term in data processing, in which a transaction can be an inquiry or a range of updates and trading transactions. The definition is important for EDI service operators, who must interpret invoices and other documents.",false
10656,TRANSACTION COST APPROACH,"The transaction cost approach
is based on the idea of finding a
governance structure to arrive at
the lowest cost possible for each
transaction and comparing whether
281Glossary  | Transaction Cost Reduction
| Some Useful Strategic Sourcing Related Terms
to perform an activity internally or
outsource the activity in the market.",Transaction Cost Approach,The transaction cost approach is based on the idea of finding a governance structure to arrive at the lowest cost possible for each transaction and comparing whether to perform an activity internally or outsource the activity in the market.,false
10658,Transaction Cost Reduction,Activities or process changes that decrease the cost to process a purchase order or a payment transaction. Procurement credit cards are an example of a transaction cost reduction.,TRANSACTION COST REDUCTION,Activities or process changes that decrease the cost to process a purchase order or a payment transaction. Procurement credit cards are an example of a transaction cost reduction.,true
10660,TRANSACTION COSTS,"The costs of ‘doing business’ are called
transaction costs and it is further
classified as internal and external
transaction costs. Market reviews,
negotiations, supplier assessment
are examples of external transaction
costs while, discussing internal
transfer pricing and developing service
level agreements are examples
of internal transaction costs.",Transaction Costs,"The costs that are associated with an exchange between two parties. The level of the transaction costs depends upon three important factors: (1) the frequency of the transaction, (2) the level of the transaction- specific investments, and (3) the external and internal uncertainty.",false
10667,Transactional Leadership,"A leadership prospective based on give and take. A transactional leader provides efficiency by securing resources to get the objective completed. A transactional leader links performance to reward. Transactional leaders accept the goals, structure and culture of the existing organisation.",TRANSACTIONAL LEADERSHIP,"A leadership prospective based on give and take. A transactional leader provides efficiency by securing resources to get the objective completed. A transactional leader links performance to reward. Transactional leaders accept the goals, structure and culture of the existing organisation.",true
10669,Transactional Relationships,"A phase in the continuum of Buyer- Seller Relationships, it is the most common and basic relationship. The term describes an arm's length relationship wherein neither party is concerned with the well-being of the",TRANSACTIONAL RELATIONSHIPS,"A phase in the continuum of BuyerSeller Relationships, it is the most common and basic relationship. The term describes an arm’s length relationship wherein neither party is concerned with the well-being of the other. Each transaction is entered into on its own merits. Little or no basis exists for collaboration and learning.",false
10671,Transfer,Anything given to another person or organisation with no expectation that it will be returned. When a materiel item is transferred custodial control is also transferred to the receiving program manager.,TRANSFER,Anything given to another person or organisation with no expectation that it will be returned. When a materiel item is transferred custodial control is also transferred to the receiving program manager. Glossary | Transaction Cost Reduction,false
10675,Transformation Charters South Africa,Sectorial transformation charters referred to in section 12 of the Act.,TRANSFORMATION CHARTERS SOUTH AFRICA,Sectorial transformation charters referred to in section 12 of the Act.,true
10679,Transformational Procurement,A progressive sourcing strategy where considerations go beyond value for money considerations to include impact on people and society as whole .,TRANSFORMATIONAL PROCUREMENT,A progressive sourcing strategy where considerations go beyond value for money considerations to include impact on people and society as whole.,false
10685,Transit Charges,Charges made for services rendered while a shipment is in transit.,TRANSIT CHARGES,Charges made for services rendered while a shipment is in transit.,true
10693,Transition Plan,"A formal, written contract protocol that establishes the approach for planning and managing the interim period between the beginning of a contract and its expiration. A well- managed, detailed transition plan will reduce problems that may occur in new contracts, extensions of contracts, and contract renewals. Examples include contracting for uniforms, security guard services, and food services in institutions such as a prison.",TRANSITION PLAN,"A formal, written contract protocol that establishes the approach for planning and managing the interim period between the beginning of a contract and its expiration. A well-managed, detailed transition plan will reduce problems that may occur in new contracts, extensions of contracts, and contract renewals. Examples include contracting for uniforms, security guard services, and food services in institutions such as a prison.",false
10703,Transnational Sourcing,Two or more countries aggregating selected product requirements to source.,TRANSNATIONAL SOURCING,Two or more countries aggregating selected product requirements to source.,true
10706,Transorganisational Sourcing,Two or more organisations aggregating their product requirements to source.,TRANSORGANISATIONAL SOURCING,Two or more organisations aggregating their product requirements to source.,true
10708,Transparency,"A principle implying a process by which reliable, timely information about",TRANSPARENCY,"A principle implying a process by which reliable, timely information about existing conditions, decisions and actions relating to the organisation's activities is made accessible, visible and understandable.",false
10770,Truth In Negotiations Act (TINA),"Established the requirement for certain federal contracts, contractors to submit cost or pricing data and must certify that, to the best of the contractor's knowledge and belief, the cost or pricing data submitted is current, accurate, and complete.",TRUTH IN NEGOTIATIONS ACT (TINA),"Established the requirement for certain federal contracts, contractors to submit cost or pricing data and must certify that, to the best of the contractor’s knowledge and belief, the cost or pricing data submitted is current, accurate, and complete.",false
10799,TURNKEY OUTSOURCING,"Turnkey outsourcing applies when
the responsibility for the execution of
the entire outsourced function (or set
of outsourced activities) lies with the
external provider. This includes not only
the execution of the activities, but also
the co-ordination of these activities.",Turnkey Outsourcing,"Turnkey outsourcing applies when the responsibility for the execution of the entire outsourced function (or set of outsourced activities) lies with the external provider. This includes not only the execution of the activities, but also the co-ordination of these activities.",false
10824,Two Envelope System,"A tendering option for the selection of the most advantageous tenderer. The tenderers are ordered to submit their tenders/offers in two separate envelopes, both of them sealed and clearly marked. The first envelope contains the technical proposal, the second one the price proposal.",TWO ENVELOPE SYSTEM,"A tendering option for the selection of the most advantageous tenderer. The tenderers are ordered to submit their tenders/offers in two separate envelopes, both of them sealed and clearly marked. The first envelope contains the technical proposal, the second one the price proposal.",true
10832,Tying Arrangement,A vendor imposed restraint in which the purchaser is forced to buy an unwanted item in order to acquire the desired one.,TYING ARRANGEMENT,A vendor imposed restraint in which the purchaser is forced to buy an unwanted item in order to acquire the desired one.,true
10869,Unallowable Cost,"Any cost which, in accordance with pertinent laws or regulations, cannot be included in prices or cost- reimbursements under a contract to which the cost is allocable.",UNALLOWABLE COST,"Any cost which, in accordance with pertinent laws or regulations, cannot be included in prices or costreimbursements under a contract to which the cost is allocable.",false
10873,Unbalanced Bid,"A bid that contains pricing aberrations, for example, low or nominal prices may be bid for some items and high or enhanced prices may be bid for other work. This may happen in time and material contracts or construction contracts where upfront payment may be made for mobilization. It is wise policy to state in the bid documents that ""unbalanced bids may be deemed non-responsive"". Unbalanced bids may be deemed to be non-responsive, and may be both mathematically unbalanced and materially unbalanced.",UNBALANCED BID,"A bid that contains pricing aberrations, for example, low or nominal prices may be bid for some items and high or enhanced prices may be bid for other work. This may happen in time and material contracts or construction contracts where upfront payment may be made for mobilization. It is wise policy to state in the bid documents that “unbalanced bids may be deemed non-responsive”. Unbalanced bids may be deemed to be non-responsive, and may be both mathematically unbalanced and materially unbalanced.",false
10897,Unified Procurement Platform,"A unified procurement platform is a procurement software system that is not made up of different suites of procurement applications, but instead is once complete software capable of delivering procurement solutions for the entire source to pay cycle.",UNIFIED PROCUREMENT PLATFORM,"A unified procurement platform is a procurement software system that is not made up of different suites of procurement applications, but instead is once complete software capable of delivering procurement solutions for the entire source to pay cycle.",true
10903,UNIQUE PART NUMBER,A code assigned to a product to identify it in an article coding system. Glossary | United Nations Standard Products And Services Code,Unique Part Number,A code assigned to a product to identify it in an article coding system.,false
10916,Unit-Rate/Charter Contracts,Contractor receives fixed sum for per unit of work completed.,UNIT-RATE/CHARTER CONTRACTS,Contractor receives fixed sum for per unit of work completed.,true
10925,UNITISATION,"To take individual items and ship
them as a single larger item.",Unitisation,To take individual items and ship them as a single larger item.,false
10964,Usage Based Pricing,"Pricing a service or item based on its consumption or usage,",USAGE BASED PRICING,"Pricing a service or item based on its
consumption or usage, rather than a flat
rate for a given service or period of time.",false
10982,Usury,To charge an exorbitant rate of interest. Many countries have some form of usury law imposing limits on how high interest charges can be to protect borrowers from being exploited by unscrupulous loan sharks.,USURY,To charge an exorbitant rate of interest. Many countries have some form of usury law imposing limits on how high interest charges can be to protect borrowers from being exploited by unscrupulous loan sharks.,true
10999,VALUATION,"The assignment of dollars or
currency to units, as in multiplying
on-hand inventory quantities by the
standard cost, or open customer
order units by list price.",Valuation,"The assignment of dollars or currency to units, as in multiplying on-hand inventory quantities by the standard cost, or open customer order units by list price.",false
11001,VALUE,"Value is an umbrella term, describing
the range of benefits or utility derived,
either by the user, a stakeholder, the
supplier or the buyer. Procurement
practitioners have typically used
three broad areas to measure value.
The first is cash-releasing benefits,
which broadly equate to ‘savings’. The
second is value released through the
procurement process that does not
translate into bankable savings, (‘hard
dollars’), in the budgets of buying
organisations. This is known as cost
avoidance. Third, the procurement
process may release value through
reducing risk, reducing cycle time,
affording the buying organisation
competitive advantage or other ‘value
adds’. These definitions reflect the fact
that it is often easier to describe value
than to measure it and the challenge
of the procurement process is to bring
to light what represents value for each
285Glossary  | Value Added
| Some Useful Strategic Sourcing Related Terms
category and ensure that the solution
selected represents best value.",Value,"Value is the exchange for which a customer pays. A product or service’s capability provided to a customer at the right time, at an appropriate price, as defined in each case by the customer.",false
11003,VALUE ADDED,"A process or operation that increases
the worth of a good or service as
perceived by the internal or external
customer, as opposed to an operation
that may simply incur costs due to the
performance of an activity. For example,
in processing metal coils, stamping
the part out of the coil into the form
required by the customer adds value;
moving the coil from the warehouse
to where it is processed does not.",Value Added,"A process or operation that increases the worth of a good or service as perceived by the internal or external customer, as opposed to an operation that may simply incur costs due to the performance of an activity. For example, in processing metal coils, stamping the part out of the coil into the form required by the customer adds value; moving the coil from the warehouse to where it is processed does not.",false
11007,Value Added Reseller,"A business entity that purchases a product from a manufacturer, adds enhancements and then sells it to another organisation. Many large computer manufacturers have agreements with resellers to deliver, install and configure their equipment.",VALUE ADDED RESELLER,"A business entity that purchases a product from a manufacturer, adds enhancements and then sells it to another organisation. Many large computer manufacturers have agreements with resellers to deliver, install and configure their equipment.",true
11010,VALUE ADDED TAX (VAT),"A tax based on the value added
during each stage of a product’s
production or distribution. Common
throughout the European Union.",Value Added Tax (VAT),"A general consumption tax for the production and distribution of goods and services, added as a percentage charge based on price that reflects the incremental value added by a given activity.",false
11014,Value Analysis,"The organised use of methodologies that focus on the function of a material, process, or service in providing value to the customer. It attempts to define cost, quality, and customer acceptance parameters in determining the value and possible redesign or re-engineering of a given function.",VALUE ANALYSIS,"An organized effort directed at analyzing the functions of a product or service including specifications, standards, practices and procedures with the intent to satisfy the required function at the lowest possible cost without impacting functional need and suitability. (2)The organised use of methodologies that focus on the function of a material, process, or service in providing value to the customer. It attempts to define cost, quality, and customer acceptance parameters in determining the value and possible redesign or re-engineering of a given function. Glossary | Value Added",false
11017,Value Based Pricing,"1.Setting a price based on how much the customer believes what you're selling is worth. 2.A business strategy which sets a product or service price based on the benefit it provides the customer, rather than on the cost of the product, market price, competitor or historical price. Value based pricing includes advertising or surveying to determine or measure the anticipated benefit the customer will receive and align the value delivered. Pricing is based upon the perceived or actual value that the end user will receive.",VALUE BASED PRICING,"A business strategy which sets a product or service price based on the benefit it provides the customer, rather than on the cost of the product, market price, competitor or historical price. Value based pricing includes advertising or surveying to determine or measure the anticipated benefit the customer will receive and align the value delivered. Pricing is based upon the perceived or actual value that the end user will receive.",false
11019,VALUE CHAIN,"A series of activities, which combined,
define a business process; the series
of activities from manufacturers
to the retail stores that define
the industry supply chain.",Value Chain,"A series of activities, which combined, define a business process; the series of activities from manufacturers to the retail stores that define the industry supply chain.",false
11023,VALUE CHAIN MANAGEMENT,"The management of the steps in
supply chain that add value to a
tangible or intangible product.",Value Chain Management,All stakeholders belonging to the same value chain are challenged to improve the (buying) company’s value proposition to its final end customers i.e. consumers.,false
11025,VALUE CHAIN PERSPECTIVE,"Contracts are closed based upon client’s
key interests and requirements.",Value Chain Perspective,Contracts are closed based upon client’s key interests and requirements.,false
