source_row_number,term,definition
12850,Price Stability,"The absence of significant changes in the average price level - officially defined as a rate of inflation of less than 3%. (Schiller, 2000)"
12842,Price/Earnings (PE) Ratio,"The price of a stock share divided by earnings per share. (Business, 2002)"
12851,Pricing Data,"Factual information about prices for goods and services substantially similar to those being procured; can include offered or proposed selling prices, historical selling prices and current selling prices."
12852,Pricing Method,"Canadian The method by which the contract price is determined, such as fixed, lot, cost plus, or target."
12853,Prime Contract,"A contract entered into by a public entity with a business entity for the purpose of obtaining supplies, services or construction items of any kind."
12854,Prime Contractor,The business entity that has entered into a contract with a jurisdiction.
12855,Principle,"A basic truth, law or assumption; a rule or standard of behavior; a rule of conduct that derives from ethical values."
12856,Priority,The degree of precedence given to a particular item or task over other items or tasks.
13793,Prisoner’s dilemma,"A situation in which two players (e.g., retailers) both make substantial profit if they “cooperate” (e.g., spend moderate amounts on advertising and keep the price high). This is an unstable equilibrium, however, if there is a strong temptation to “cheat” (e.g., obtain more profit for oneself by unilaterally dropping the price and advertising heavily). The situation when both players “cheat” is a stable equilibrium (i.e., neither player is willing to change his decision by himself, however, each player makes less profit than he would if both players cooperated). The term comes from the setting where two accomplices in crime are held prisoner. Each is offered to be set free if he supplies incriminating evidence against the other. Both will receive a light punishment if neither supplies evidence. If one refuses to cooperate but the other supplies evidence, then the uncooperative one receives a severe sentence. This is an example of a nonconstant sum game."
12857,Private Goods,"A commodity that benefits the individual. An example is a pen I own is a private good; a bridge built with governmental funds and usable by all is a public good. (Guess, 2002)"
12858,Private Label,A product or range of products offered by a retailer under their own name or under a brand that they own. They compete with branded goods.
12859,Private Sector,That part of an economy in which goods and services are produced by individuals and companies as opposed to the government and the non-profit sector. The ultimate aim of the private sector is to secure a profit as opposed to government and the non-profit sector which aims to achieve other objectives.
12860,Privatization,The divestiture of both management and assets of a public function to the private sector in order to change the status of a function formerly performed by the public entity to one that is privately controlled and owned including the transfer of real and personal property.
12861,Privilege Clause,"Canadian A clause traditionally used in Canadian tenders which says “the lowest or any tender will not necessarily be accepted”. A “privilege clause” provides the tendering authority with broad discretion in relation to the acceptance or rejection of tenders. It usually reserves to the owner the discretion to accept or reject the lowest, or any, tender. It does not displace the overarching duty of procedural good faith that the Courts have found is an implied term of the bid contract (contract A)."
12882,Pro-Forma,"A document issued before all relevant details are known, usually followed by a final version. (Business, 2002)"
12883,Pro-Forma Invoice,An invoice received before the purchase informing the buyer of the terms of sale. Often applicable to foreign purchases as the buyer’s proof of a future purchase to support the buyer’s request to governmental authorities for import permits and foreign exchange.
13794,Probit model,"A statistical technique frequently used in deciding whether to grant or deny credit to a prospective customer. Identical to the Logit model except that the Normal distribution, rather than the Logistics distribution is used to estimate the probability the prospect is bad."
12862,Probity,"Canadian Integrity and uprightness. Uncompromising adherence to the laws, regulations and policy imperatives concerning government contracting. An ethical course of action. (Summit Magazine, On-Line)"
12863,PROC (Product-Resource-Operating-Contingent),Canadian See Product-Resource-Operating-Contingent.
12864,Process Knowledge,"A knowledge sharing trend in organizations that proactively fosters collaboration, sharing of knowledge and organizes around customer-centric processes by encouraging workers to form collaborative teams responsible for the completion of an entire process from end to end.  This system organizes work flow to support cross-functional business processes that emphasize the importance of sharing product-related and process-related knowledge across functional boundaries."
12865,Procurement Card (pCard),"A payment method whereby internal customers (requisitioners) are empowered to deal directly with suppliers for purchases using a credit card issued by a bank or major credit card provider. Generally a pre-established credit limit is established for each card issued. The cards enable eProcurement and facilitate on-line ordering, frequently from pre-approved suppliers under blanket contracts. (Miller, 2006)"
12866,Procurement Code Exceptions,"Public sector procurement codes (legislation) provide for the direct purchase of specific products or services without following the competitive requirements.  Example: Authorized or mandated preferred source (prisoners, blind, and disabled), emergency procurements as well as others provided by local laws and regulations."
12867,Procurement Lead Time,"The total lead time required to obtain a purchased item. Includes purchasing lead time, vendor lead time, transportation time, receiving and inspection."
12868,Procurement Methods,"Methods by which goods, services, or material may be acquired by public purchasers. The methods may include blanket orders, emergency purchases, standing offers, purchase orders, transfers, competitive bidding, competitive negotiation, intergovernmental cooperative agreements, small purchase contracts, purchases via a credit card, etc."
12869,Procurement Officer,Any person duly authorized to enter into and administer a contract and make written determinations and findings thereto. Also includes an authorized representative of the procurement officer acting within the limits of his or her authority.
12870,Procurement Outsourcing,"The contracting out of the procurement function to a third-party or private contractor. (Miller, 2006)"
12871,Procurement Profile,"The result produced after conducting a series of various analyses on the procurement expenditures of an organization, the range of commodities and services acquired through purchasing (Spend Analysis), the markets that provide them (Market Analysis), the level of influence of the suppliers and the entity in the marketplace, and the risks inherent in the market that could affect the entity’s operations (Supply Positioning). Also see Spend Analysis, Market Analysis and Supply Positioning."
12872,Procurement Records,Accounts maintained by a procurement organization sufficient to detail the significant history of a procurement and which may be needed for future audit purposes. Typically defined in a retention schedule description.
12873,Procurement System Review,"An audit of the procedures of the procurement system of the governmental entity. For federal agencies, OMB Circular A-102 provides guidance."
12874,Producers,"People who use resources to make goods and services. (Ferrell, 2002)"
12875,Producers Price Index (PPI),"A measurement tool compiled by the U.S. Bureau of Labor Statistics reflecting the average change in prices charged by producers during a given time period, compared to those charged in a base year. The PPI measures inflation at earlier stages of the production and marketing process than does the Consumer Price Index. (ISM, 2000)"
12876,Product Identification,"Canadian An identifier which is unique for a given product. It may be any combination of the following: A NATO stock number, a supplier’s part number, a supplier’s catalog number and GSIN code."
12877,Product Launch,"The introduction of a new product into a market. The beginning stages of the product life cycle. (Ferrell, 2002)"
12878,Product Quality Level (PQL),A ranking of the degree of reproduction fidelity required in the final
12879,Product-Resource-Operating-Contingent (PROC),"Canadian Identifies four types of costs (product, resource, operating and contingent) used to identify all costs associated with a requirement over its useful life to determine the best value."
12880,Production,"The making of goods available for use; total output especially of a commodity or industry. (Schiller, 2000)"
12881,Profit Sharing,"A form of compensation whereby a percentage of company profits is distributed to the employees based on a variety of factors such as longevity, company status, etc. (Business, 2002)"
12884,Program Budgeting,Program budgets relate expenditures and revenues to public goals.
13371,PROGRAM EVALUATION AND REVIEW TECHNIQUE (PERT) DIAGRAM,"A more sophisticated form of planning than a Gantt Chart, a PERT Diagram is used for projects with many interactive steps showing the relationship among various steps in a project."
12887,Program Identification Code,Canadian A two-digit code identifying the program to which a contract may apply.
12885,Program Number,An identifying number assigned to a term contract by GPO.
12886,Program Operator,A printing specialist who administers a term contract.
12888,Progress Payments,A timed sequence of payments made during the performance of a contract; periodic payments made over the life of a contract; allow the contractor to submit invoices for payment as progress is made in performing the contract. Progress payments shift risk to the public agency since payment for progress made does not guarantee that the work will be completed. Also see Advance Payment and Partial Payment.
12889,Progress Report,A report prepared by a contractor during the performance of a contract. A useful means of assessing the routine progress of the contractor in selected areas of the contract.
12890,Progressive Award,"The award of a definite quantity contract under the same solicitation to two or more vendors or contractors to furnish the same or similar supplies or services, where more than one vendor is needed to meet the contract requirements for quantity, delivery, or service."
12891,Progressive Tax System,"A tax system in which taxes get higher for wealthier residents; it’s the opposite of a regressive tax system. Sometimes referred to as a “graduated” tax system. (Business, 2002)"
12892,Prohibited Articles,"Articles which will not be handled, as listed in transportation carrier’s tariffs."
12894,Project Approval Effective,"Canadian Approval based on reliable and up-to-date cost estimates which provides authority to proceed with a project or complete it in those instances where there is already a preliminary approval, and spend all project funds, based on a specific budget in constant and current (budget-year) dollars."
12893,Project Approval-Class Estimate,"Canadian Four types, A,B,C,D, defined as follows:"
12895,Project Approval-Preliminary,"Canadian Approval based on Class C Estimates which provides authority to initiate a project as the preferred option for fulfilling a justified need, and spends only those funds necessary to cover such activities as concept and preliminary design and to develop at least a Class B Estimate."
12896,Project Duration,Canadian Duration of time from project announcement to completion.
12897,Promissory Estoppel,"A legal doctrine binding a person to a promise when another party has relied on the promise to its detriment and the person making the promise could have reasonably foreseen the reliance. (Nash, Schooner, O’Brien, 1998)"
12898,Prompt Payment Act,"This law provides requirements to government procurement offices that ensure that federal contractors supplying goods and services are paid on time and within agreed upon payment terms. Many states and local governments have enacted similar laws. (ISM, 2000)"
12899,Prompt Payment Discount,"An incentive for early payment on a “Net Days” basis. For example, if company policy is to pay contractors on a “Net 90” basis, the company will pay within 30 days in return for a percentage discount, such as 2% of the total amount due. Also see Cash Discount, Discount and Payment Terms. (Juricidical Dictionary, 2007)"
12900,Proposal,A proposal is a document submitted by a vendor in response to some type of bid solicitation to be used as the basis for negotiations or for entering into a contract.
12901,Proprietary (Article),An item produced and marketed by a person or company having the exclusive right to manufacturer and sell it. May result from a trade secret or patent.
12903,Proprietary (Information),"Owned by a private individual or corporation under a patent, copyright, trademark or other exclusive right. Usually protected from release to the general public. Not subject to public disclosure. Also see Trade Secret and Confidential Information. (Business, 2002)"
12902,Proprietary Funds,Funds used to account for a government’s business-type activities. There are two types of proprietary funds – enterprise funds and internal service funds. Both enterprise and internal service funds recover the full cost of providing services (including capital costs) through fees and charges on those who use their services. Also see Enterprise Fund and Internal Service Fund. (cityofnorthlasvegas.com/Departments/Finance/PDFs/Budgets/2004_2005/4-OtherFunds/113-126-ProprietaryFunds.pdf)
12904,Protectionism,"The economic policy of promoting favored domestic industries through the use of high tariffs and other regulations to discourage imports. Historical variants of this policy have included mercantilism, a trade policy aimed at maximizing currency reserves by running large trade surpluses; and import substitution, a trade policy in which targeted imports are replaced by local manufactures in order to stimulate local production. (Explanation-guide.info/meaning)"
12905,Protest to GAO,A complaint (protest) by the contractor to the General Accounting
12908,Prototype,"An initial version or working model of a new product or invention. Usually constructed and tested in order to evaluate the feasibility of a design and to identify problems that need to be corrected. Purchasing may request a prototype to evaluate prior to purchase. (Miller, 2006)"
12909,Provisioning and Supply,"Canadian The process of determining requirements, initiating procurement and providing a stock of supplies for future needs."
13542,PTMS Public Transportation Facilities and Equipment Management System,A systematic process (required under ISTEA) utilized by state agencies and MPOs to collect and analyze information on the condition and cost of transit assets on a continual basis; data is to be used to help people choose cost effective strategies for providing and keeping transit facilities and equipment in good condition; process must be developed in Transportation Management Areas (TMAs); the use of CMS in non-TMAs is left to the discretion of state and local officals.
12910,Public Agency,A public entity subject to or created by a governmental jurisdiction.
12911,Public Bid Opening,The process of opening and reading bids at the time and place specified in the solicitation and in the presence of anyone who wishes to attend.
12912,Public Finance Law,"Legislative laws governing the financial activities of government or public sector organizations. (Business, 2002 - modified)"
13795,Public key encryption,"A two key encryption system whereby the sender uses his private key to encrypt his message (e.g., a PO). His public key, known by all his business partners, is needed to decipher the message. Thus, a recipient of a message is able to verify the source of a message. It also allows the sender to prevent a message from being read by anyone but the intended recipient by encrypting it with the recipient’s public key. The recipient can then decipher the message with his private key. This provides one way of implementing one form of an extranet."
12913,Public Management,"The process of planning, organizing, staffing and executing the use of people, time and fiscal resources for the purpose of providing goods, services and protection valued by the citizens of the entity in response to the laws and regulations of the governing body."
12914,Public Notice,"An announcement made by a public agency concerning a solicitation or other information of general public interest. Usually placed in a newspaper of general circulation, a web-site, circular, magazine or other vehicle of general publication. Must comply with legal requirements of the jurisdiction."
12915,Public Policy,"The fundamental policy on which laws rest, especially policy not yet enunciated in specific rules. (www.factmonster.com)"
12917,Public Procurement Process Model,An integrated public procurement planning model that consists of four stages: Planning-Formalization-Implementation-Evaluation.
12918,Public Procurement Unit (PPU),"Local public procurement unit; External procurement activity (any buying organization not located in the state, which, if located in this state, would qualify as a public procurement unit); state public procurement unit; Federal Government; and any not-for-profit entity comprised of more than one of the above. (ABA Model Procurement Code)"
12919,Public Property,"Canadian All property, other than money, belonging to the Crown."
12920,Public Purchasing,"The processes utilized by public entities for the procurement of construction, supplies, materials and services at the most favorable overall total cost through the utilization of accepted practices that encourage competition, including best value and quality considerations, thus ensuring that the public good is best served."
12921,Public Sector,"That section of the economy that is financed and controlled by a central government, local authorities, and publicly funded corporations. (Business, 2002)"
12916,Public-Private Competition,In-house governmental departments and private companies who compete to provide government services; occurs when a government agency targets a service for possible outsourcing and allows the in-house operation currently providing the service to compete against the private sector and submit a proposal to provide the government service. May be referred to as Managed Competition.
12922,Pull Strategy,"The use of promotion to create consumer demand for a product so that consumers exert pressure on marketing channel members to make the product available. (Ferrell, 2002)"
12923,Punitive Damages,"Damages that are awarded in a civil action, in addition to compensatory damages, to punish a defendant for gross or willful misconduct. Generally are not recoverable in breach of contract actions. (Garner, 2004)"
12924,Purchase Description,The words used in a solicitation document to describe the requirements to be purchased; includes specifications that are attached to or made part of the solicitation.
12925,Purchase Document,Canadian A written or electronic document which sets out all terms and conditions of a purchase transaction with a supplier.
12926,Purchase Log,"A register of all requisitions received and all purchase orders issued, containing information such as requisition number, purchase order number, bid number, the vendor, commodity code or description of the material or service, and the value of the order. Generally contained in a legacy data base."
12928,Purchase Order Change Notice,A form documenting a change made to a purchase order.
12929,Purchase Price,Canadian The price quoted by a supplier for a materiel item; may include delivery and installation costs.
12930,Purchase Requisition (PR),A document created by a requestor authorizing the commencement of a purchasing transaction. Typically will include a description of the need and other information that is relative to the transaction. May be submitted in hard copy or via eProcurement software.
12931,Purchase Requisition Status,Canadian A status report on a purchase requisition. Also called milestone status.
13346,"PURCHASING - Purchasing describes all those transactional processes concerned with acquiring goods and services, including payment of invoices. It is a narrower term than procurement, describing reactive, tactical processes. Typically purchasing processes are triggered by the development of a request to purchase by a user. The purchasing process differs from sourcing or procurement in three key aspects","the scope of the process, the degree of influence exerted on the process, and the nature of the choices made. In terms of scope, the purchasing process typically begins after a user has selected the solution, or defined the need, and ends on the receipt of the good or service and payment of the supplier’s account. In terms of influence, the purchasing process is primarily concerned with selecting the supplier and agreeing the terms, though the acquisition may be made against an existing agreement. In terms of the nature of decisions made, purchasing decisions tend to be focused on individual transactions, and not aligned to the organization’s overall goals, or to choices with longer-term strategies. PUBLIC PURCHASING - The process of obtaining goods and services for public purpose following procedures implemented to protect public funds from being expended extravagantly or capriciously."
12932,Purchasing Agency,Any governmental body which is authorized to enter into contracts.
12933,Purchasing Audit,"A comprehensive, systematic, independent, and periodic examination of an organization’s purchasing environment, objectives, strategies, and activities with a view toward identifying strengths and weaknesses, including a plan of action to improve purchasing performance. (ISM, 2000)"
12934,Purchasing Ethics,See Ethics.
12935,Purchasing Management Association of Canada (PMAC),"Canadian An educational and technical organization of purchasing and materiel management personnel and buying organizations, both public and private sector. (Summit Magazine, On-Line)"
12936,Purchasing Manager,Public purchasing employee with responsibility and authority to act for the public agency in certain areas.
12937,Purchasing Manual,"A document that describes rules, regulations, policies and procedures to be followed by the purchasing organization and the agencies/departments it serves."
12927,Purchasing Memorandum (PM),"A Purchasing Memorandum is the notification document used by PSG to announce an adjustment, modification, extension or cancellation of a contract."
12938,Purchasing Methods,"Canadian Canadian public procurement methods to procure goods and services include: Invitation to Tender (ITT), Request for Proposal (RFP), Request for Quotation (RFQ), Request for Standing Offer (RFSO) and Telephone Buy (T-buy). (www.summitconnects.com)"
12939,Purchasing Officer,"An official in charge of the procurement operation, from the determination of needs to follow-up, ensures timely delivery."
12940,Purchasing Organization,"Employees responsible for purchasing needed supplies, services, and construction; the purchasing department."
12941,Purchasing Policy,A course of action adopted by the public agency that provides guidance relative to procurement actions.
13372,"PURCHASING PORTFOLIO, APPROACH (IDENTICAL TO KRALJIC PORTFOLIO)","Portfolio consisting of four quadrants (i.e. leverage products, strategic products, routine products and bottleneck products) based upon two criteria: financial impact and supply risk. Serves to develop four differentiated supplier strategies."
12942,Purchasing Power Parity (PPP),"A method for calculating the correct value of a currency, which may differ from its current market value. PPP is helpful when comparing living standards in different countries, as it indicates the appropriate exchange rate to use when expressing incomes and prices in different countries in a common currency. As public purchasing moves to global procurement, it is essential to understand the basics of international currency standards. (Bishop, 2004)"
12943,Purchasing Procedure,A mode of conducting purchasing activities.
13373,"PURCHASING STRUCTURE, DECENTRALIZED","A major characteristic is that all business-unit managers are responsible for their own financial results. Hence, the management of the business unit is fully responsible for all its purchasing activities."
13570,Purportedly an acronym. A type of sonar used by the Allies for detecting submarines during the First and Second World War. abbreviation,"Allied Submarine Devices Investigation Committee (World War I). The term has been generically applied to equipment for ""under-water supersonic echo-ranging equipment"" of submarines and other vessels."
12944,Push Strategy,"An attempt by manufacturers, wholesalers and other distribution channels to motivate intermediaries to push the product down to their customers. (Business, 2002)"
12945,PWS,See Performance Work Statement.
13797,"Q,r","An inventory policy under which, when the inventory level drops to r, an amount Q is ordered from the supplier. It is an extension of the EOQ inventory policy."
13543,QA Quality Assurance Program,"An internal DOT quality control program which relies on their employees to identify and resolve problems related to quality concerns. 

RCI Roadway Congestion Index: A tool used to identify congestion on freeways and principal arterials; compares daily vehicle miles of travel per lane-mile to calculated daily vehicle miles of travel per lane-mile for identified congested conditions; an index value of 1.0 or greater indicates undesirable congestion."
13796,QFD (Quality Function Deployment),A table oriented procedure for converting customer requirements for a product into the features or functions that should be included in the product design.
12946,QOH,See Quantity on Hand.
12947,QPL,See Qualified Products List.
12948,Qualified Bidder,"A bidder determined by the purchasing organization to meet the minimum standards of business competence, reputation, financial ability, and product quality for placement on the bidders list. Also see Responsible Bidder."
12949,Qualified Products List (QPL),"A list of items (products) that have been examined and tested and have satisfied all applicable qualification requirements. These lists are used on procurements to restrict bidders/offerors to those products on the lists. May also be referred to as an Approved Brands List (ABL) or an Approved Products List (APL). (Nash, Schooner, O’Brien, 1998)"
12950,Qualified Products List (QPL) Specifications,"QPL Specifications are based on a list of products identified by manufacturers’ names and model numbers, which are the only items which will be acceptable. These are used when quality is such a critical factor and testing so lengthy or expensive that the agency wants to stay with proven products. The list is prepared by testing products, either in the lab or in daily use. Items may be added to the list by the supplier demonstrating their quality by meeting specifications that have been defined by the using entity."
12951,Qualitative Measurement,"Pertaining to or concerning quality aspects; tends to be more subjective in nature; decides suitability or effectiveness. Example: The navy blue color of this week’s shipment of motors is slightly lighter in color, however, it will not affect its performance and therefore this shipment is still acceptable from a qualitative point of view."
12952,Quality Assurance Code,Canadian The code specifying DND (Canadian Department of National Defence) quality assurance requirements.
12953,Quality Assurance Teams (Quality Circles),"Small groups of workers brought together from throughout the organization to solve specific quality issues in order to improve a process, procedure, or production method. (Burt, Dobler, Starling, 2003)"
12954,Quality Standard,"A framework for achieving a recognized level of quality within an organization. Achievement of a quality standard demonstrates that an organization has met the requirements laid out by a certifying body. Quality standards recognized on an international basis include ISO 9000 and ISO 14000. (Business, 2002)"
12955,Quantitative Measurements,A measurement capable of being expressed as a quantity or a number of things. Example: The terms and conditions of this contract require the awardees to deliver three complete compressor units per day.
12956,Quantitative Research,"The gathering and analysis of data that can be expressed in numerical form. Involves data that is measurable and can include statistical results, financial or demographic data. (Business, 2002)"
12957,Quantity Demanded,"The amount of a product consumers will purchase at a specific price. An economic impact on pricing that is relational to supply and demand. (Schiller, 2000)"
12958,Quantity on Hand (QOH),Material owned by the agency that is immediately and physically available for use by the agency that has not otherwise been specifically allocated or reserved for others.
12959,Quantity Supplied,"The amount of a product that producers will produce and sell at a specific price. Consumer demand influences producer production and pricing. (Schiller, 2002)"
12960,Quasi-Contract,See Implied Contract.
12961,Quasi-Judicial,"A quasi-judicial body is an individual or organization which has powers resembling those of a court of law or judge and is able to remedy a situation or impose legal penalties on a person or organization. Such bodies usually have powers of adjudication in such matters as: breach of discipline; conduct rules; trust in the matters of money or otherwise. Their powers are usually limited to a particular area of expertise, such as financial markets, employment, public standards, immigration, or regulation. (Wikipedia, 1.22.07)"
12962,Quasi-Public Corporation,"Corporations owned and operated by federal, state, or local governments. A revenue authority or water authority are examples. (Business, 2002)"
12963,Quick Ratio (Acid Test),"A stringent measure of liquidity that eliminates inventory. A good tool to utilize when assessing the financial health of a business. (Business, 2002)"
12964,Quid Pro Quo,"A Latin phrase meaning, what for what or something for something. An equal exchange or substitution. Used to describe a negotiation technique where two or more parties agree to give something in order to receive something in return. (Harney, 1992)"
13798,R2 (R squared),"A measure, between 0 and 1, of how well a forecast or regression line fits a set of data. An R2 of 1 means a perfect fit. Numerically, it is 1 – (sum of squared errors about the forecast line)/(sum of squared errors about the mean)."
13799,Rain-check,"A form of backlog in which the seller, in the event of a stock-out, gives a ticket to a customer wishing to purchase the product, guaranteeing that the seller will order more of the product and sell it to the customer at the original price."
13800,Ramsey prices,"A form of cost allocation that may be of interest when there is a high fixed cost of producing, but a low marginal cost per unit produced. If you want users to make optimal use of goods, you want to charge them the marginal cost. If this were done, however, then the producer would show a loss. If a producer can charge different prices to different markets or departments, and we have the demand curve for each market, as well as the production cost function, then Ramsey prices are the solution to the problem:"
12965,Random sampling,"A technique that results in a representative subset of the population where each element has the same chance of being selected as every other element in the population; such as to select items from the inspection lot so each item in the lot has an equal chance of being included in the sample. A form of quality assurance often used in modern polling, market research and manufacturing."
12966,Rate,"As applied to the transportation or movement of goods and material, the cost of, or charge that applies to the service rendered by the carrier."
12967,Rate of Exchange,See Exchange Rate.
12968,Ratio Analysis,"Calculations that measure an organization’s financial health. Often mentioned in financial information provided by a public company to determine if they are a responsible bidder/offeror. (Business, 2002)"
12969,RCA,See Root Cause Analysis.
12997,Re-Order Point,"The level of stock or inventory, above the safety stock level, at which orders are placed to obtain more goods."
12970,REA,See Request for Equitable Adjustment.
12971,Reactive Maintenance,"Maintenance for equipment and facilities provided only in response to a breakdown which results in a loss of production. It may create emergency requests to the purchasing organization. (Business, 2002)"
12973,Reason for Call-Up,Canadian A brief explanation of reasons for calling-up temporary help services.
12972,Reasonable Cost,A cost that by its nature or amount does not exceed what would normally be incurred by an ordinarily prudent person in the conduct of competitive business. Often used in the context of “fair and reasonable” cost/price.
12974,Rebilling,"In freight handling, issuing a new waybill at a junction point to which shipment has been billed by a connecting line."
12975,Receivables Turnover,"Sales divided by accounts receivable. May be used to determine the financial health of a company and to determine if they are a responsible bidder/offeror. (Business, 2002)"
13407,Received for Shipment B/L,Validated at time cargo is received by ocean carrier to commence movement but before being validated as “Onboard”.
12976,Receiving Inspection,Comparing material and services received to the specifications.
12977,Receiving Voucher,Canadian A document used to record the receipt of material.
12978,Recession,"A decline in total output for two or more consecutive quarters. An economic downturn that may impact price, terms and conditions of purchasing transactions and usually reflective of a buyers market. (Bishop, 2004)"
12979,Recommended By,Canadian An authorized officer’s signature (within the department).
13408,Reconciled B/L,B/L set which has completed a prescribed number of edits between the shipper’s instructions and the actual shipment received. This produces a very accurate B/L.
12980,Recycled Material Content,"The portion of a product made with recycled materials consisting of pre-consumer materials (waste), post-consumer materials (waste), or both."
12981,Recycled Materials,"Materials, goods, or products that contain recyclable items that are used in manufacturing a new product."
12982,Redistribution,"The transfer of control, utilization, or location of material between organizations or activities."
12983,Reduced Inspection,"Inspection under a sampling plan using the same quality levels for normal inspection, but requiring a smaller sample."
12984,Reference,"A component of due diligence to determine the capability of performing contractual requirements whereby previous businesses are contacted concerning the potential contractors skills, qualifications and capabilities."
12985,Reference Groups,"Groups with whom buyers identify and whose values or attitudes they adopt. May be applicable to purchasing cooperatives. (Business, 2002)"
13574,Referring to the four main points of the compass,"north, south, east and west. See also bearing."
13455,"Refers to a wide range of activities supported by software with multiple modules (accounting, purchasing, inventory, manufacturing, etc.). Manufacturers and other businesses utilize ERP systems to manage various aspects of their businesses, including","product planning, parts purchasing, inventory management, supplier management, customer service management, and order tracking. A relational database system may be a necessary component for the effective use of an ERP system. Implementation of an ERP system can involve considerable business process analysis, user training, and a significant financial investment."
12986,Refused Shipment,A delivery of freight or goods and materials that the consignee refuses to accept. Any delivery from a carrier that is not accepted.
12987,Regressive Tax System,"One in which effective tax rates fall as income rises. The burden tends to be overly high on the state’s less-affluent residents. A public policy issue that may impact governmental procurement decisions. Also see Sales Tax. (Schiller, 2000)"
12988,Regulation,"A statement by a governmental body to implement, interpret, or prescribe law or policy, or to describe organization, procedure, or practice, often promulgated in accordance with an administrative procedures act."
12989,Regulatory Body,"An independent organization, usually set up by government, that regulates the activities of companies in an industry."
12990,Rejection,Refusal of a delivered supply or service that does not meet contract specifications or requirements.
12991,Relationships (between Buyer and Seller),See Buyer-Seller Relationships.
12992,Relative Price,"The price of one good in comparison with the price of other goods. A key component of benchmarking. (Bishop, 2004)"
12993,Remanufactured Product,"Any product diverted from the supply of discarded materials by refurbishing and marketing said product without substantial change to its original form. (Burt Dobler, Starling, 2002)"
12994,Remedial Training,A technique utilized to improve or upgrade an individual’s knowledge and skills when job performance is not meeting predetermined expectations.
13801,Reneging,The action of a customer in a waiting queue to depart prematurely resulting in a lost sale. Contrast this with balking.
12995,Renegotiation,"Deliberation, discussion, or conference to change or amend the terms of an existing agreement."
12996,Rent,"A contract giving the right to use real estate or property for a specified time in return for monetary compensation. (Business, 2002)"
12998,Replacement Materiel,Canadian Materiel assets which are required to replace disposed items.
12999,Report of Partial Shipment,"Report showing the items received from a vendor when an order is incomplete, or has items backordered."
13000,Repositioning,"A marketing strategy that changes aspects of a product or brand in order to change market position and alter consumer perceptions. A strategy used to increase product sales in certain markets. (Business, 2002)"
13001,Repudiation,"Rejection, disclaimer, or renunciation. Refusal to perform a duty or obligation owed to the other party. (Garner, 2002)"
13002,Requirements Analysis,Value analysis applied to the writing of specifications to eliminate products or services that are not cost effective.
13003,Requirements Contract,"A contract used to order only the material or services actually required during a contract term. An indefinite quantity contract for frequently used commodities or products. Also see Blanket Order, Price Agreement and Open-end Contract."
13004,Requirements Determination,"A method used to determine what is needed, when it is needed and how much is needed.  Such methods may include reviewing past usage of an item, future need, program objectives, trends, performance of a demand analysis, market analysis, the use of software or other forecasting tools, with the objective of satisfying the need."
13005,Requisition Certified By,Canadian Signature of the financial officer who has authority to certify funds availability.
13007,Requisition Item Quantity,Canadian The quantity required based on the correct unit of issue.
13008,Requisition Number,Canadian An alphanumeric code applied to a requisition for control purposes.
13009,Requisition Originator,"Canadian A person who initiates a procurement, issue or disposal transaction."
13010,Requisition Serial Number,"Canadian A four-character serial number, which the department uses for requisitioning control purposes."
13006,Requisitioner,Anyone who initiates a purchase requisition or request for goods or services.
13011,Rescission of Contract,"The relieving of a party from all obligations under a contract. A remedy for mutual mistake when reformation is not possible, and for other defects in contract formation such a duress, fraud, misrepresentation and unconscionability. (Nash, Schooner, O’Brien, 1998)"
13012,Residency Preference,See Preference.
13013,Residual Value,"The proceeds, less removal and disposal costs, if any, realized upon disposition of a tangible capital asset (FAR 31.001)."
13014,Responsibility Centre,Canadian The organizational unit which has been delegated responsibility for the control and monitoring of a financial budget.
13015,Responsible Bidder/Offeror,"A contractor, business entity or individual who is fully capable to meet all of the requirements of the solicitation and subsequent contract. Must possess the full capability, including financial and technical, to perform as contractually required. Must be able to fully document the ability to provide good faith performance. Also see Qualified Bidder."
13016,Responsive Bidder/Offeror,"A contractor, business entity or individual who has submitted a bid or request for proposal that fully conforms in all material respects to the IFB/RFP and all of its requirements, including all form and substance."
13017,Restocking Charges,"On occasion, a public entity may inadvertently order more product or equipment than is required or, in error, order the wrong material. This is the charge incurred when returning the oversupply to the seller. It is good practice to include a restocking charge clause allowing the public entity to return the product for a negotiated restocking fee."
13018,Restraint of Trade,"The effect of an act, contract, conspiracy, or combination which eliminates or stifles competition, effects a monopoly, artificially maintains prices, or otherwise hampers or obstructs the course of trade and commerce as it would be carried on if left to the control of natural and economic forces."
13422,Restricted,A condition within the letter of credit which restricts its negotiation to a named bank.
13019,Restricted fund,"These are funds that are restricted for a specific purpose. The purpose can be specific or quite broad, eg., in the case of grants or donations from a charity; or a particular project with agreed terms outputs such as to meet the criteria of the award or grant. The source of restricted funds can be from government, foundations and trusts, grant-awarding bodies, philanthropic organisations, private donations, etc. The practical implication is that restricted funds are ring-fenced and cannot be used for any other purpose, which may also entail specific reporting and timescales, with which the organisation using the funds must comply. One of the more famous examples of misuse of restricted funds was when Maxwell spent Mirror Group pension funds on Mirror Group development"
